,year_built,sqft,baths,stories,beds,garage,type,is_foreclosure,city,tags,price
8,1956.0,1025.0,1.0,1.0,3.0,,single_family,,Austin,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'disability_features', 'laundry_room', 'single_story', 'big_lot', 'lake', 'shopping']",
9,1987.0,1664.0,3.0,2.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_security_features', 'family_room', 'fireplace', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan']",
10,1976.0,1936.0,2.0,1.0,2.0,2.0,townhomes,,Austin,"['community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'groundscare', 'shopping']",
11,1965.0,1444.0,2.0,1.0,3.0,2.0,single_family,,Austin,"['central_heat', 'community_outdoor_space', 'community_park', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'playground', 'tennis', 'trails', 'shopping']",
12,1979.0,1644.0,2.0,1.0,3.0,,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'front_porch', 'outbuilding', 'ensuite', 'farm', 'ranch', 'groundscare']",
13,1985.0,3128.0,3.0,2.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dining_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'media_room', 'mountain_view', 'shopping']",
14,1982.0,2109.0,3.0,1.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'dining_room', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'spa_or_hot_tub', 'tennis_court', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'corner_lot', 'furniture', 'new_roof']",
15,1984.0,1490.0,2.0,1.0,2.0,,townhomes,,Austin,"['central_air', 'central_heat', 'community_security_features', 'fireplace', 'single_story', 'garage_1_or_more', 'community_swimming_pool', 'tennis_court', 'clubhouse', 'tennis', 'shopping']",
16,2008.0,2026.0,2.0,1.0,4.0,2.0,mobile,,Austin,"['central_air', 'community_clubhouse', 'forced_air', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'rental_property', 'clubhouse', 'park', 'playground', 'trails']",
17,1978.0,1345.0,2.0,1.0,3.0,1.0,single_family,,Austin,"['central_air', 'central_heat', 'fireplace', 'laundry_room', 'washer_dryer', 'single_story', 'garage_1_or_more', 'corner_lot', 'shopping']",
18,1979.0,2359.0,2.0,1.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_golf', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'cul_de_sac', 'dining_room', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'tennis_court', 'swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'big_lot', 'furniture', 'farm', 'ranch', 'park', 'golf_course', 'soccer', 'shopping']",
19,2018.0,1533.0,3.0,1.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_park', 'community_security_features', 'dishwasher', 'energy_efficient', 'family_room', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'private_backyard', 'fenced_yard', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'front_porch', 'ensuite', 'farm', 'ranch', 'smart_homes']",
20,1998.0,1961.0,2.0,1.0,3.0,2.0,single_family,,Austin,"['central_air', 'community_outdoor_space', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'corner_lot', 'master_suite', 'farm']",
21,1984.0,1776.0,2.0,1.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'white_kitchen', 'floor_plan', 'new_roof']",
22,2013.0,4237.0,4.0,2.0,4.0,3.0,single_family,,Austin,"['central_air', 'central_heat', 'fireplace', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'trails']",
23,,,0.0,,,,condo,,Austin,,
24,1955.0,1092.0,1.0,1.0,3.0,,single_family,,Austin,"['carport', 'fireplace', 'laundry_room', 'single_story', 'investment_opportunity']",
25,1981.0,1752.0,3.0,2.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_park', 'corner_lot', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'groundscare']",
26,2016.0,2305.0,3.0,2.0,4.0,2.0,single_family,,Pflugerville,"['central_heat', 'community_outdoor_space', 'community_park', 'dishwasher', 'family_room', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'media_room', 'park', 'playground', 'groundscare']",
27,1984.0,891.0,2.0,1.0,2.0,,condos,,Austin,"['central_air', 'central_heat', 'dishwasher', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'granite_kitchen', 'updated_kitchen', 'private_backyard', 'shopping']",
28,1985.0,920.0,2.0,1.0,2.0,,condos,,Austin,"['central_air', 'central_heat', 'community_park', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'high_ceiling', 'park', 'shopping']",
29,1982.0,2350.0,3.0,2.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_golf', 'community_outdoor_space', 'community_park', 'community_security_features', 'community_tennis_court', 'dining_room', 'dishwasher', 'fireplace', 'hardwood_floors', 'hill_or_mountain_view', 'laundry_room', 'ocean_view', 'recreation_facilities', 'river_view', 'tennis_court', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_lot', 'golf_course', 'tennis', 'views']",
30,1997.0,1883.0,2.0,1.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_park', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'spa_or_hot_tub', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'corner_lot', 'greenbelt']",
31,2020.0,1583.0,3.0,2.0,3.0,2.0,condos,,Austin,"['central_air', 'central_heat', 'community_gym', 'community_park', 'dishwasher', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'open_kitchen', 'private_backyard', 'community_center', 'park', 'playground', 'trails']",
32,1974.0,1469.0,2.0,1.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'soccer', 'shopping']",
33,1989.0,3566.0,4.0,2.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_park', 'community_security_features', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'basketball_court', 'big_yard', 'private_backyard', 'high_ceiling', 'ensuite', 'tennis', 'volleyball', 'basketball', 'shopping']",
34,1999.0,3127.0,3.0,1.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_outdoor_space', 'community_park', 'community_tennis_court', 'corner_lot', 'cul_de_sac', 'den_or_office', 'dishwasher', 'family_room', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'park', 'trails', 'greenbelt', 'shopping']",
35,1985.0,2774.0,2.0,2.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'community_golf', 'community_outdoor_space', 'community_tennis_court', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'modern_kitchen', 'large_kitchen', 'vaulted_ceiling', 'ensuite', 'clubhouse']",
36,1999.0,4124.0,5.0,3.0,4.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'fireplace', 'recreation_facilities', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'guest_house', 'lake']",
37,,,0.0,,,,land,,Austin,"['fenced_yard', 'big_lot']",
38,1990.0,2455.0,2.0,1.0,3.0,2.0,single_family,,Austin,"['central_air', 'central_heat', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'farm', 'ranch', 'investment_opportunity']",
39,1935.0,1465.0,2.0,1.0,3.0,,single_family,,Austin,"['carport', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story']",
40,1973.0,957.0,2.0,1.0,1.0,2.0,condos,,Austin,"['central_air', 'central_heat', 'community_security_features', 'dishwasher', 'family_room', 'laundry_room', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'investment_opportunity', 'lake']",
41,,,0.0,,,,land,,Del Valle,,
0,1915.0,4179.0,5.0,2.0,6.0,,single_family,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'view', 'basement', 'two_or_more_stories', 'high_ceiling', 'guest_house', 'rental_property', 'shopping']",905000
1,1981.0,1502.0,2.0,1.0,3.0,2.0,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_lot', 'farm', 'ranch', 'shopping']",500000
2,1998.0,2857.0,3.0,2.0,3.0,2.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'view', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'open_floor_plan', 'floor_plan', 'shopping', 'fixer_upper']",700000
3,1999.0,2333.0,3.0,2.0,3.0,2.0,single_family,,Raleigh,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'high_ceiling', 'master_bedroom', 'big_lot', 'new_roof']",509000
4,2004.0,1531.0,3.0,2.0,3.0,2.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'investment_opportunity']",315000
5,1979.0,1071.0,2.0,1.0,3.0,,single_family,,Raleigh,"['carport', 'central_air', 'fireplace', 'forced_air', 'single_story', 'investment_opportunity']",205000
6,2005.0,3115.0,3.0,2.0,4.0,2.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'floor_plan', 'screen_porch', 'park', 'playground', 'tennis', 'trails']",707500
7,1995.0,7576.0,6.0,2.0,4.0,3.0,single_family,,Raleigh,"['carport', 'community_outdoor_space', 'community_tennis_court', 'corner_lot', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'big_lot']",1660000
8,2003.0,11218.0,9.0,2.0,6.0,4.0,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'wooded_land', 'master_suite', 'large_porch', 'big_lot', 'farm', 'views', 'lake']",3200000
9,2007.0,1507.0,3.0,2.0,3.0,1.0,townhomes,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'view', 'two_or_more_stories', 'garage_1_or_more', 'cathedral_ceiling', 'shopping']",280000
10,1995.0,1230.0,3.0,2.0,2.0,,townhomes,,Raleigh,"['central_air', 'city_view', 'community_clubhouse', 'community_golf', 'community_outdoor_space', 'community_tennis_court', 'fireplace', 'golf_course_lot_or_frontage', 'hardwood_floors', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'modern_kitchen', 'large_kitchen', 'front_porch', 'golf_course', 'tennis', 'trails', 'lake', 'maintenance']",246500
11,1981.0,2878.0,3.0,2.0,3.0,3.0,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'modern_kitchen', 'large_kitchen', 'no_hoa']",560000
12,1996.0,1952.0,3.0,2.0,4.0,2.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_tennis_court', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'vaulted_ceiling', 'big_bathroom']",415000
13,2005.0,1630.0,3.0,3.0,3.0,,condos,,Raleigh,"['city_view', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'updated_kitchen', 'cathedral_ceiling', 'trails', 'shopping']",270000
14,2000.0,1543.0,3.0,2.0,3.0,,single_family,,Raleigh,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'corner_lot', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'modern_kitchen', 'large_kitchen', 'private_backyard', 'master_suite', 'new_roof', 'clubhouse', 'playground', 'tennis', 'trails']",383000
15,2018.0,2734.0,4.0,2.0,4.0,3.0,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'no_hoa']",750000
16,2005.0,1625.0,2.0,1.0,2.0,1.0,condos,,Raleigh,"['central_air', 'city_view', 'community_gym', 'community_security_features', 'dining_room', 'dishwasher', 'laundry_room', 'recreation_facilities', 'view', 'single_story', 'garage_1_or_more', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'ensuite']",525000
17,2014.0,3240.0,3.0,2.0,5.0,2.0,single_family,,Raleigh,"['city_view', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'corner_lot', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'floor_plan', 'master_suite', 'shopping']",641450
18,2003.0,4443.0,5.0,2.0,4.0,3.0,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'wooded_land', 'big_lot']",1150000
19,2004.0,4364.0,6.0,2.0,5.0,2.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'spa_or_hot_tub', 'tennis_court', 'view', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'modern_kitchen', 'large_kitchen', 'gourmet_kitchen', 'fenced_yard', 'coffer_ceiling', 'wrap_around_porch', 'playground', 'tennis']",874900
20,2022.0,1578.0,2.0,1.0,3.0,2.0,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'forced_air', 'laundry_room', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'big_lot', 'farm', 'ranch', 'maintenance', 'shopping']",425000
21,2019.0,1246.0,2.0,1.0,3.0,,single_family,,Raleigh,"['central_air', 'city_view', 'view', 'single_story', 'fenced_yard']",290000
22,1984.0,1058.0,2.0,2.0,2.0,,townhomes,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'forced_air', 'view', 'two_or_more_stories', 'no_hoa', 'shopping']",238000
23,2008.0,1652.0,3.0,2.0,3.0,1.0,townhomes,,Raleigh,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'open_floor_plan', 'floor_plan', 'front_porch', 'pond', 'smart_homes', 'clubhouse', 'views', 'maintenance', 'shopping']",390000
24,1947.0,676.0,1.0,1.0,2.0,,single_family,,Raleigh,"['city_view', 'hardwood_floors', 'view', 'single_story', 'big_lot', 'park']",487000
25,1990.0,1617.0,3.0,2.0,3.0,,single_family,,Raleigh,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'laundry_room', 'two_or_more_stories', 'open_floor_plan', 'floor_plan', 'big_lot', 'new_roof', 'shopping']",400000
26,1961.0,,,,,,single_family,,Raleigh,"['city_view', 'hardwood_floors', 'view', 'big_lot', 'lake', 'shopping']",690000
27,2008.0,2496.0,4.0,3.0,3.0,1.0,townhomes,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'view', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'granite_kitchen', 'modern_kitchen', 'large_kitchen', 'ensuite', 'groundscare', 'shopping']",725000
28,1982.0,1657.0,3.0,2.0,3.0,,single_family,,Raleigh,"['city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'view', 'washer_dryer', 'swimming_pool', 'two_or_more_stories', 'no_hoa']",375000
29,1980.0,748.0,1.0,1.0,1.0,,single_family,,Raleigh,"['central_air', 'city_view', 'forced_air', 'view', 'single_story', 'master_bedroom', 'big_lot', 'shopping']",310000
30,1967.0,1973.0,3.0,2.0,4.0,1.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'big_yard', 'fenced_yard', 'big_bathroom', 'library', 'community_center', 'soccer', 'shopping']",399000
31,1997.0,2057.0,3.0,2.0,3.0,2.0,single_family,,Raleigh,"['central_air', 'city_view', 'community_outdoor_space', 'community_tennis_court', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'tennis']",437000
